  103521
       0.00      0.00
       0.09    216.78
       0.19    207.11
       0.30    187.96
       0.42    189.08
       0.56    195.03
       0.70    202.69
       0.86    209.78
       1.04    216.90
       1.23    226.51
       1.45    234.79
       1.68    244.29
       1.94    249.16
       2.23    246.62
       2.54    242.67
       2.89    244.84
       3.27    246.89
       3.69    242.70
       4.15    235.44
       4.65    228.97
       5.21    222.98
       5.82    219.09
       6.49    217.18
       7.23    215.96
       8.05    214.35
       8.94    212.63
       9.93    210.99
      11.01    209.54
      12.20    208.66
      13.51    207.39
      14.95    205.88
      16.54    202.11
      18.29    195.67
      20.20    184.91
      22.32    172.13
