   101365
       0.00      0.00
       0.09    180.58
       0.19    229.61
       0.30    238.70
       0.42    241.17
       0.56    241.74
       0.70    241.55
       0.86    240.72
       1.04    239.40
       1.23    236.44
       1.45    231.81
       1.68    225.81
       1.94    220.92
       2.23    218.68
       2.54    220.55
       2.89    228.29
       3.27    241.21
       3.69    255.40
       4.15    266.19
       4.65    271.62
       5.21    273.78
       5.82    274.77
       6.49    274.45
       7.23    273.07
       8.05    271.04
       8.94    268.42
       9.93    264.64
      11.01    259.33
      12.20    253.70
      13.51    247.83
      14.95    242.76
      16.54    239.24
      18.29    236.58
      20.20    234.44
      22.32    232.91
      24.64    230.30
      27.19    223.21
      30.00    214.86
