   705253
       0.00      0.00
       0.17    132.67
       0.35    153.90
       0.56    158.07
       0.78    159.25
       1.03    161.06
       1.30    161.76
       1.60    162.28
       1.93    162.54
       2.29    163.58
       2.69    164.33
       3.12    164.64
       3.61    164.97
       4.13    165.03
       4.72    164.93
       5.36    164.55
       6.06    164.58
       6.84    164.20
       7.69    163.98
       8.63    163.85
       9.66    163.58
      10.79    163.48
      12.04    163.23
      13.41    163.14
      14.92    163.44
      16.58    163.05
      18.41    162.29
      20.42    161.27
      22.63    158.91
      25.06    154.72
      27.74    148.53
      30.68    143.55
      33.91    140.96
      37.48    141.93
