  104565
       0.00      0.00
       0.09     72.13
       0.19    125.49
       0.30    163.49
       0.42    193.37
       0.56    212.88
       0.70    227.21
       0.86    236.83
       1.04    242.42
       1.23    245.12
       1.45    245.57
       1.68    244.51
       1.94    242.00
       2.23    238.92
       2.54    235.96
       2.89    233.94
       3.27    232.94
       3.69    233.98
       4.15    236.39
       4.65    240.50
       5.21    244.88
       5.82    247.07
       6.49    247.47
       7.23    246.81
       8.05    246.73
       8.94    248.77
       9.93    251.27
      11.01    253.62
      12.20    256.52
      13.51    258.68
      14.95    259.73
      16.54    260.35
      18.29    259.41
      20.20    256.99
      22.32    253.26
      24.64    247.54
      27.19    239.90
      30.00    230.62
      33.09    224.06
