   102403
       0.00      0.00
       0.09     51.23
       0.19     65.00
       0.30     70.81
       0.42     74.14
       0.56     76.66
       0.70     78.74
       0.86     80.73
       1.04     82.63
       1.23     85.41
       1.45     88.08
       1.68     90.50
       1.94     92.86
       2.23     95.26
       2.54     98.57
       2.89    102.90
       3.27    107.83
       3.69    113.39
       4.15    119.24
       4.65    123.65
       5.21    125.73
       5.82    126.79
       6.49    127.58
       7.23    128.20
       8.05    128.60
       8.94    129.22
       9.93    130.77
      11.01    132.87
      12.20    135.13
      13.51    136.65
      14.95    135.69
      16.54    133.84
      18.29    134.08
