   104527
       0.00      0.00
       0.09    166.17
       0.19    235.07
       0.30    250.20
       0.42    244.15
       0.56    224.01
       0.70    196.62
       0.86    175.60
       1.04    164.58
       1.23    159.28
       1.45    157.21
       1.68    158.04
       1.94    163.89
       2.23    173.00
       2.54    179.74
       2.89    188.13
       3.27    195.83
       3.69    201.06
       4.15    201.76
       4.65    198.52
       5.21    193.98
       5.82    189.94
       6.49    188.34
       7.23    192.56
       8.05    198.19
       8.94    197.93
       9.93    192.66
      11.01    186.34
      12.20    186.21
