   100342
       0.00      0.00
       0.09    114.58
       0.19    130.28
       0.30    132.77
       0.42    135.07
       0.56    140.83
       0.70    152.06
       0.86    162.64
       1.04    168.68
       1.23    171.57
       1.45    173.31
       1.68    175.28
       1.94    176.81
       2.23    178.75
       2.54    181.15
       2.89    183.68
       3.27    185.27
       3.69    187.92
       4.15    190.29
       4.65    192.88
       5.21    196.34
       5.82    198.93
       6.49    198.97
       7.23    196.05
       8.05    192.57
       8.94    190.61
       9.93    191.01
      11.01    191.99
      12.20    192.84
      13.51    192.67
      14.95    191.70
      16.54    190.80
      18.29    189.94
