  102903
       0.00      0.00
       0.09     98.40
       0.19    162.31
       0.30    211.66
       0.42    236.80
       0.56    242.50
       0.70    240.26
       0.86    235.43
       1.04    229.65
       1.23    220.27
       1.45    212.82
       1.68    211.31
       1.94    227.75
       2.23    260.74
       2.54    283.49
       2.89    291.60
       3.27    293.05
       3.69    290.73
       4.15    287.06
       4.65    283.01
       5.21    279.06
       5.82    277.02
       6.49    277.38
       7.23    276.77
       8.05    274.64
       8.94    272.58
       9.93    271.02
      11.01    269.62
      12.20    269.09
      13.51    270.17
      14.95    270.03
      16.54    268.50
      18.29    270.28
      20.20    265.30
      22.32    254.71
