   711670
       0.00      0.00
       0.09    133.68
       0.19    119.38
       0.30    111.54
       0.42    126.68
       0.56    150.75
       0.70    167.99
       0.86    180.78
       1.04    187.00
       1.23    190.11
       1.45    189.93
       1.68    186.38
       1.94    181.65
       2.23    176.42
       2.54    171.61
       2.89    166.53
       3.27    162.21
       3.69    159.34
       4.15    158.95
       4.65    161.08
       5.21    163.75
       5.82    166.24
       6.49    168.92
       7.23    171.08
       8.05    170.51
       8.94    166.42
       9.93    164.01
      11.01    163.17
      12.20    162.46
      13.51    159.48
      14.95    155.84
      16.54    155.06
      18.29    157.03
      20.20    161.42
      22.32    167.02
