   100891
       0.00      0.00
       0.09    188.06
       0.19    224.29
       0.30    229.93
       0.42    228.89
       0.56    225.97
       0.70    222.52
       0.86    218.71
       1.04    215.68
       1.23    212.47
       1.45    209.70
       1.68    207.96
       1.94    207.20
       2.23    207.30
       2.54    207.96
       2.89    209.73
       3.27    213.12
       3.69    217.68
       4.15    222.09
       4.65    225.26
       5.21    226.83
       5.82    227.49
       6.49    227.66
       7.23    227.44
       8.05    226.79
       8.94    225.89
       9.93    224.70
      11.01    223.73
      12.20    222.43
      13.51    217.24
      14.95    208.27
      16.54    195.99
      18.29    176.59
      20.20    165.78
      22.32    167.44
      24.64    167.98
