  104258
       0.00      0.00
       0.09    215.65
       0.19    223.10
       0.30    212.20
       0.42    207.71
       0.56    210.49
       0.70    219.35
       0.86    228.35
       1.04    232.23
       1.23    232.71
       1.45    230.74
       1.68    227.39
       1.94    223.14
       2.23    218.50
       2.54    213.33
       2.89    208.13
       3.27    202.75
       3.69    197.98
       4.15    193.87
       4.65    190.64
       5.21    187.97
       5.82    185.51
       6.49    183.64
       7.23    182.19
       8.05    180.99
       8.94    180.31
       9.93    180.93
      11.01    183.72
      12.20    188.64
      13.51    195.18
      14.95    202.24
      16.54    208.57
      18.29    211.17
      20.20    208.53
      22.32    203.15
      24.64    198.21
      27.19    195.37
