  704458
       0.00      0.00
       0.21    277.57
       0.45    475.77
       0.70    472.83
       0.99    456.91
       1.30    442.26
       1.64    426.53
       2.02    412.41
       2.43    399.06
       2.89    385.11
       3.39    373.74
       3.94    365.19
       4.55    355.09
       5.21    347.76
       5.95    343.27
       6.75    339.17
       7.64    337.17
       8.62    335.17
       9.69    332.17
      10.88    329.63
      12.18    326.01
      13.61    320.60
      15.18    312.41
      16.91    299.52
      18.81    292.09
      20.91    279.49
      23.21    271.47
      25.75    262.46
      28.53    255.20
      31.60    248.26
      34.97    243.96
      38.68    241.65
      42.76    239.43
      47.25    240.56
      52.19    243.95
