sn2004gu	0.047	17.439	1.141	0.101	0.178
sn2005hc	0.045	17.302	1.078	-0.006	0.18
sn1993ag	0.049	17.865	0.884	0.085	0.241
sn1995ac	0.049	17.091	1.085	-0.012	0.184
sn1990af	0.05	17.796	0.741	-0.006	0.198
sn1993o	0.053	17.656	0.906	-0.073	0.196
sn1999ao	0.055	17.906	0.95	-0.017	0.212
sn1998dx	0.054	17.546	0.844	-0.088	0.24
sn2006ob	0.059	18.302	0.741	0.022	0.187
sn2006oa	0.058	17.955	1.131	0.023	0.196
SDSS3901	0.063	18.015	1.117	0.051	0.18
sn1992bs	0.063	18.317	0.966	-0.018	0.237
sn2006an	0.065	18.195	1.061	0.016	0.222
sn2007ae	0.063	17.832	1.198	0.002	0.234
SDSS10028	0.065	18.373	0.891	0.054	0.2
SDSS6057	0.067	18.641	0.944	0.129	0.206
sn2006al	0.069	18.485	0.809	-0.063	0.248
sn1993b	0.07	18.497	0.914	0.057	0.273
sn2006on	0.068	18.494	1.038	0.104	0.31
sn1992ae	0.075	18.448	0.944	-0.027	0.266
sn2005ir	0.075	18.4	1.043	0.014	0.17
sn1999bp	0.078	18.422	1.065	-0.037	0.198
sn1992bp	0.079	18.335	0.877	-0.075	0.212
sn2005ag	0.08	18.44	1.029	-0.014	0.179
SDSS1241	0.087	19.103	0.929	0.072	0.189
SDSS3592	0.087	18.751	0.975	-0.04	0.178
SDSS6773	0.09	18.663	0.979	-0.011	0.207
SDSS2102	0.095	18.634	1.133	-0.094	0.217
SDSS10434	0.104	19.185	1.01	-0.053	0.224
SDSS3256	0.108	19.495	0.942	-0.029	0.222
SDSS7147	0.11	19.516	0.796	-0.034	0.195
SDSS8719	0.116	19.392	0.992	-0.059	0.199
SDSS5395	0.117	19.459	1.11	0.002	0.188
SDSS2561	0.118	19.813	0.993	0.086	0.193
SDSS1371	0.119	19.073	1.072	-0.076	0.187
SDSS5549	0.121	19.654	1.02	0.033	0.182
SDSS2916	0.124	19.937	0.875	0.066	0.248
06D2fb	0.124	19.772	0.964	-0.004	0.181
SDSS6406	0.125	19.616	1	0.026	0.188
SDSS2992	0.127	20.034	0.889	0.127	0.21
SDSS744	0.128	19.793	1.149	0.08	0.25
SDSS5751	0.13	20.136	1.068	0.191	0.179
SDSS1032	0.13	20.326	0.717	0.088	0.219
SDSS2635	0.143	19.83	1.092	-0.015	0.202
SDSS1794	0.143	20.058	1.136	0.018	0.244
SDSS8921	0.145	19.961	1.104	0.007	0.231
SDSS5103	0.146	20.377	0.963	0.055	0.191
SDSS11300	0.147	20.309	0.862	0.11	0.243
SDSS10106	0.147	20.948	0.99	0.2	0.233
SDSS2308	0.148	19.587	1.069	-0.164	0.189
SDSS2031	0.153	19.703	1.049	-0.091	0.195
SDSS5550	0.156	19.844	1.202	-0.055	0.19
SDSS2689	0.162	20.254	1.165	0.095	0.202
SDSS3087	0.165	20.266	1.056	0.025	0.196
05D3ne	0.169	20.251	0.809	-0.147	0.218
SDSS5916	0.172	20.439	0.922	0.014	0.206
SDSS3080	0.174	20.236	0.999	-0.038	0.195
SDSS5350	0.175	20.323	0.913	-0.057	0.248
SDSS5635	0.179	20.923	1.011	0.002	0.233
SDSS2372	0.181	20.58	1.032	0.045	0.21
SDSS6936	0.181	20.575	1.003	-0.007	0.208
SDSS1580	0.183	20.291	1.099	-0.014	0.215
05D2ah	0.184	20.765	0.991	0.019	0.184
SDSS6422	0.184	20.274	1.08	-0.097	0.193
SDSS8213	0.185	21.133	0.923	0.179	0.226
SDSS5994	0.187	20.476	1.074	-0.041	0.218
SDSS6304	0.19	20.952	0.927	0.095	0.207
SDSS762	0.191	20.657	1.102	0.009	0.211
SDSS2440	0.193	20.653	1.051	-0.062	0.212
SDSS7335	0.198	21.265	0.781	0.067	0.243
SDSS6780	0.202	20.947	0.789	-0.004	0.246
SDSS7243	0.204	20.789	1.079	0.002	0.237
SDSS3331	0.206	21.089	0.95	0.076	0.225
04D1dc	0.211	21.084	0.856	0.023	0.191
SDSS7847	0.212	21.225	1.017	0.155	0.224
SDSS6933	0.213	20.832	0.995	0.002	0.202
SDSS8495	0.214	20.811	1.098	-0.001	0.246
SDSS1316	0.217	20.907	1.058	-0.073	0.374
SDSS9467	0.218	21.057	0.83	-0.118	0.269
05D3kx	0.219	20.867	1.069	-0.016	0.179
SDSS7512	0.219	21.104	1.055	0.027	0.233
SDSS5533	0.22	21.173	0.976	0.046	0.21
SDSS3452	0.23	20.799	1.092	-0.068	0.211
SDSS10449	0.244	20.995	1.109	0.039	0.285
SDSS3377	0.245	20.791	1.12	-0.06	0.219
05D3mq	0.246	21.521	0.912	0.034	0.204
SDSS3451	0.25	20.958	1.055	-0.038	0.22
06D3gn	0.25	21.892	0.949	0.16	0.186
SDSS3199	0.251	21.539	1.164	0.03	0.224
SDSS5717	0.252	21.355	1.175	-0.012	0.211
SDSS5736	0.253	21.421	0.949	0.011	0.211
SDSS9032	0.254	21.345	1.075	0.041	0.271
SDSS9457	0.257	21.453	0.978	0.022	0.302
SDSS1112	0.258	21.563	0.918	0.022	0.302
SDSS8046	0.259	21.633	1.049	0.077	0.249
SDSS6108	0.259	21.537	1.065	0.063	0.246
SDSS3241	0.259	21.01	1.057	-0.168	0.251
SDSS1253	0.262	21.23	0.871	-0.09	0.253
SDSS2017	0.262	21.286	1.148	-0.085	0.26
04D3ez	0.263	21.697	0.891	0.089	0.184
05D1hk	0.263	21.184	1.168	-0.006	0.192
SDSS2422	0.265	21.144	1.112	-0.156	0.215
SDSS2943	0.265	21.372	1.055	0.007	0.24
SDSS6315	0.267	20.919	0.971	-0.166	0.233
06D3fp	0.268	21.748	0.999	0.104	0.18
03D4cj	0.27	21.052	1.124	-0.063	0.184
SDSS6192	0.272	21.698	0.826	-0.018	0.268
SDSS5957	0.28	21.453	0.983	-0.089	0.245
06D3dt	0.282	22.168	0.986	0.117	0.192
03D4ag	0.285	21.277	1.111	-0.043	0.19
SDSS2165	0.288	21.604	1.063	-0.096	0.245
SDSS2789	0.29	21.576	0.901	-0.077	0.27
03D3ba	0.291	21.984	1.084	0.146	0.238
SDSS6249	0.294	21.821	1.086	0.064	0.256
SDSS10550	0.3	22.02	1.162	0.105	0.372
06D4dh	0.303	21.449	1.052	-0.126	0.185
SDSS11864	0.303	22.299	1.015	0.07	0.432
SDSS5966	0.31	21.798	1.02	0.002	0.315
SDSS6699	0.311	21.796	0.872	-0.126	0.277
SDSS5844	0.311	21.571	1.015	-0.099	0.254
SDSS6649	0.314	21.598	1.09	-0.057	0.251
SDSS7475	0.322	21.535	1.025	-0.123	0.251
05D2ab	0.323	22.001	0.987	-0.013	0.191
SDSS6924	0.328	21.633	1.076	-0.041	0.265
03D1fc	0.332	21.866	1.048	0.016	0.194
04D3kr	0.337	21.957	1.127	-0.004	0.184
SDSS2533	0.34	21.79	1.191	-0.04	0.278
04D3nh	0.34	22.142	1.059	0.009	0.184
03D1bp	0.347	22.421	0.88	0.002	0.192
04D2mc	0.348	22.58	0.845	0.142	0.205
05D2ie	0.348	22.249	0.988	-0.046	0.198
SDSS9207	0.35	22.062	1.126	0.022	0.322
05D2hc	0.35	22.693	0.931	0.057	0.194
05D2mp	0.354	22.417	1.138	0.058	0.208
03D3bl	0.355	22.951	1.002	0.241	0.211
04D2fs	0.357	22.437	1.01	0.081	0.191
04D3fk	0.358	22.537	0.96	0.11	0.184
04D1hd	0.369	22.166	1.071	-0.06	0.179
04D2cf	0.369	22.491	0.882	0.015	0.265
05D3jr	0.37	22.663	0.902	0.096	0.189
03D3ay	0.371	22.293	1.054	-0.018	0.234
05D4bm	0.372	22.22	1.02	-0.041	0.183
05D4fo	0.373	22.463	0.924	-0.022	0.183
05D4cw	0.375	22.145	0.911	-0.12	0.187
SDSS7779	0.381	21.943	1.124	-0.049	0.25
SDSS5737	0.393	22.439	1.27	0.144	0.339
SDSS8707	0.395	22.272	1.11	-0.088	0.26
