1.14	336.2	171.7
1.52	324.6	125.1
1.9	339	52.8
2.28	243.6	25.8
2.66	235.2	17
3.04	238.9	5.7
3.43	239.3	18.3
3.81	226.3	16.1
4.19	202.6	4.7
4.57	207.3	10.7
4.95	202.5	21.7
5.33	208.9	15.6
5.71	221.6	13.4
6.09	232.2	13.7
6.47	237.6	8.3
6.85	239.8	2.2
7.23	235.6	6.1
7.61	241.7	3.3
7.99	244.3	6.4
8.37	248.8	6.4
8.75	251.8	5.5
9.13	253	9.2
9.51	258.8	9.6
9.9	259	9.5
10.28	262.2	10.8
10.66	266.8	13
11.04	266.8	11.7
11.42	265.9	9.9
11.8	264.4	7.2
12.18	264.7	5.3
12.56	265.3	5.4
12.94	265.2	3.9
13.32	262	2.4
13.7	260.8	4.5
14.08	259.2	5.4
14.46	258.1	6.8
14.84	258.4	6.1
15.23	259.2	4.6
15.61	262.7	4.2
15.99	266.1	4
16.37	270	2.3
16.75	269.8	1
17.13	269.1	3.9
17.51	268.5	7.1
17.89	263	15
18.27	257.1	13.5
18.65	254.1	10.6
19.03	251.9	11.1
19.41	249.5	8.1
19.79	245.7	7.4
20.18	243.7	6.6
20.56	245.9	7.5
20.94	242.3	6.1
21.32	239.2	6.3
21.7	239.5	4.7
22.08	236.1	1.8
22.46	233.8	1.7
22.84	233.1	3.3
23.22	230.1	5.5
23.6	232.1	5
23.98	228.7	1.7
24.36	229.1	1.8
24.75	227.9	5
25.13	226.9	2
25.51	225.1	1.6
25.89	225.4	1.8
26.27	230.3	2
26.65	229	2.3
27.03	229.9	4.8
27.41	230.1	6.6
27.79	229.8	3
28.17	230.4	5.2
28.56	230.9	2.9
28.94	229.8	2.1
29.32	228.8	1.8
29.7	238.3	3.3
30.08	243.6	1.4
30.46	247.3	3.1
30.84	247.8	1.3
31.22	248.4	2
31.61	248.1	1.5
31.99	244.5	1.6
32.37	244.4	3
32.75	241.7	4.3
33.13	237.7	1.9
33.51	237.6	6.1
33.89	244.9	3.6
34.27	247.9	3.2
34.66	256.3	3.1
35.04	253.5	4.1
35.42	244.3	4.7
35.8	249.3	5.8
36.18	255.7	4.5
36.56	255	5.8
36.94	271.1	7.8
37.32	269.8	4.7
37.71	258.2	10.7
38.09	275.1	4.8
